Hora	Eólica	Nuclear	Fuel/gas	Carbón	Ciclo combinado	Hidráulica	Intercambios int	Enlace balear	Solar fotovoltaica	Solar térmica	Térmica renovable	Cogeneración y residuos
2024-05-24 14:40	1453	4054	0	356	1032	-768	-2630	-122	18601	1555	452	1774
2024-05-24 14:45	1449	4051	0	357	1022	-770	-2452	-123	18447	1552	452	1762
2024-05-24 14:50	1511	4051	0	358	1010	-881	-2502	-123	18297	1554	452	1760
2024-05-24 14:55	1542	4049	0	353	996	-904	-2363	-123	18230	1556	452	1725
2024-05-24 15:00	1544	4047	0	343	1013	-848	-2567	-123	18192	1553	452	1761
2024-05-24 15:05	1522	4048	0	330	1015	-798	-2623	-123	18180	1558	445	1774
2024-05-24 15:10	1541	4050	0	317	1022	-772	-2540	-123	18068	1556	445	1780
2024-05-24 15:15	1535	4051	0	293	1063	-751	-2773	-123	18075	1539	445	1781
2024-05-24 15:20	1558	4049	0	299	1050	-762	-2781	-123	18067	1551	445	1779
2024-05-24 15:25	1561	4052	0	295	1050	-769	-2867	-123	18132	1557	445	1775
2024-05-24 15:30	1577	4052	0	300	1045	-769	-2721	-123	18013	1560	445	1776
2024-05-24 15:35	1568	4049	0	303	1048	-758	-2784	-123	17930	1555	445	1775
2024-05-24 15:40	1599	4051	0	300	1033	-802	-2615	-123	17793	1540	445	1765
2024-05-24 15:45	1646	4052	0	300	1042	-767	-2563	-123	17687	1549	445	1768
2024-05-24 15:50	1688	4050	0	300	1049	-806	-2506	-122	17622	1545	445	1767
2024-05-24 15:55	1720	4051	0	303	1106	-804	-2521	-123	17514	1543	445	1729
2024-05-24 16:00	1712	4045	0	297	1188	-782	-2728	-142	17662	1539	445	1772
2024-05-24 16:05	1689	4046	0	284	1217	-621	-2745	-150	17629	1536	449	1775
2024-05-24 16:10	1673	4050	0	263	1249	-543	-3068	-165	17632	1539	449	1778
2024-05-24 16:15	1718	4048	0	246	1280	-504	-3274	-166	17578	1536	449	1776
2024-05-24 16:20	1745	4045	0	247	1275	-525	-3018	-171	17394	1533	449	1778
2024-05-24 16:25	1769	4040	0	244	1274	-453	-3272	-179	17342	1536	449	1777
2024-05-24 16:30	1781	4044	0	244	1270	-628	-3092	-179	17250	1538	449	1768
2024-05-24 16:35	1851	4050	0	244	1258	-675	-2923	-179	17190	1543	449	1767
2024-05-24 16:40	1852	4051	0	244	1266	-617	-2888	-179	17329	1542	449	1773
2024-05-24 16:45	1896	4051	0	244	1283	-567	-2957	-179	17419	1538	449	1773
2024-05-24 16:50	1926	4042	0	244	1280	-551	-2819	-179	17345	1536	449	1779
2024-05-24 16:55	1962	4042	0	244	1299	-540	-2991	-179	17278	1520	449	1776
2024-05-24 17:00	1990	4046	0	244	1336	-507	-2981	-184	17225	1533	449	1762
2024-05-24 17:05	2006	4045	0	248	1356	-432	-3014	-189	17254	1537	449	1728
2024-05-24 17:10	1985	4050	0	248	1370	-229	-3118	-194	17192	1535	449	1787
2024-05-24 17:15	2043	4052	0	248	1387	-156	-3084	-199	17122	1525	449	1794
2024-05-24 17:20	2033	4048	0	251	1463	-228	-3241	-205	17215	1538	449	1805
2024-05-24 17:25	2105	4050	0	251	1421	41	-3309	-210	17120	1533	449	1775
2024-05-24 17:30	2068	4044	0	250	1447	64	-3097	-215	17047	1540	449	1812
2024-05-24 17:35	2027	4044	0	250	1512	88	-2964	-220	16987	1539	449	1779
2024-05-24 17:40	2068	4047	0	250	1558	96	-2984	-225	16994	1543	449	1811
2024-05-24 17:45	2054	4050	0	250	1599	273	-3030	-231	16918	1540	449	1811
2024-05-24 17:50	2074	4048	0	248	1606	523	-3154	-236	16787	1537	449	1807
2024-05-24 17:55	2056	4044	0	248	1679	567	-3358	-236	16653	1579	449	1801
2024-05-24 18:00	2142	4052	0	250	1812	931	-3918	-236	16548	1591	449	1776
2024-05-24 18:05	2152	4050	0	249	1813	1657	-4253	-236	16218	1612	471	1818
2024-05-24 18:10	2140	4049	0	246	1934	1806	-4389	-236	15996	1629	471	1840
2024-05-24 18:15	2145	4042	0	250	1960	1811	-4452	-236	15932	1634	473	1807
